Image,Species,Behavior,Shade,Plant,Part,Location,Iguana_and_tortoise_present
SANTA FE 1001/2023-09-13 12-40-23 M 1_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-13 12-41-23 M 2_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-15 10-34-49 M 1_3_crop1.JPG,Iguana,Foraging,Sunlight,Grass,NA,Ground,False
SANTA FE 1001/2023-09-15 10-36-49 M 3_3_crop1.JPG,Iguana,Foraging,Sunlight,Grass,NA,Ground,False
SANTA FE 1001/2023-09-15 11-02-12 M 1_3_crop1.JPG,Iguana,Resting_ground,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-09-15 11-03-12 M 2_3_crop1.JPG,Iguana,Sleeping,Shade,Grass,NA,Ground,False
SANTA FE 1001/2023-09-15 11-04-12 M 3_3_crop1.JPG,Iguana,Sleeping,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-09-15 11-15-19 M 1_3_crop1.JPG,Iguana,Resting_ground,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-09-15 11-16-19 M 2_3_crop1.JPG,Iguana,Resting_ground,Sunlight,Grass,NA,Ground,False
SANTA FE 1001/2023-09-15 12-00-18 M 1_3_crop1.JPG,Iguana,Resting_elevated,Sunlight,Grass,NA,NA,False
SANTA FE 1001/2023-09-15 12-01-18 M 2_3_crop1.JPG,Iguana,Resting_ground,Sunlight,Grass,NA,NA,False
SANTA FE 1001/2023-09-15 13-25-35 M 1_3_crop1.JPG,Iguana,Unknown,Sunlight,NA,NA,NA,False
SANTA FE 1001/2023-09-16 13-36-59 M 2_3_crop1.JPG,Iguana,Resting_ground,Sunlight,Grass,NA,NA,False
SANTA FE 1001/2023-09-16 13-37-59 M 3_3_crop1.JPG,Iguana,Resting_ground,Sunlight,NA,NA,NA,False
SANTA FE 1001/2023-09-16 13-49-30 M 1_3_crop1.JPG,Iguana,Sleeping,Sunlight,Grass,NA,NA,False
SANTA FE 1001/2023-09-16 13-50-30 M 2_3_crop1.JPG,Iguana,Resting_ground,Sunlight,NA,NA,Ground,False
SANTA FE 1001/2023-09-16 13-51-30 M 3_3_crop1.JPG,Iguana,Resting_ground,Sunlight,Grass,NA,NA,False
SANTA FE 1001/2023-09-16 15-18-28 M 2_3_crop1.JPG,Iguana,Fighting,Sunlight,Grass,Unknown,Ground,False
SANTA FE 1001/2023-09-16 15-43-37 M 1_3_crop1.JPG,Tortoise,Resting_ground,Shade,NA,NA,Ground,False
SANTA FE 1001/2023-09-16 15-44-37 M 2_3_crop1.JPG,Iguana,Resting_ground,Unknown,NA,NA,Ground,False
SANTA FE 1001/2023-09-17 15-52-22 M 3_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-18 07-57-30 M 1_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-18 07-58-30 M 2_3_crop1.JPG,Other,Unknown,Unknown,Unknown,NA,NA,False
SANTA FE 1001/2023-09-18 07-59-30 M 3_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-18 07-59-30 M 3_3_crop2.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-18 08-11-53 M 1_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-18 11-11-39 M 3_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-18 11-28-16 M 1_3_crop1.JPG,Iguana,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-19 14-59-27 M 1_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,Ground,False
SANTA FE 1001/2023-09-19 15-00-27 M 2_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-19 15-00-27 M 2_3_crop2.JPG,Other,Unknown,Unknown,Unknown,NA,NA,False
SANTA FE 1001/2023-09-19 15-01-27 M 3_3_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,False
SANTA FE 1001/2023-09-22 09-00-47 M 3_3_crop1.JPG,Other,Unknown,Unknown,Unknown,NA,NA,False
SANTA FE 1001/2023-09-22 10-06-04 M 1_3_crop1.JPG,Other,Unknown,Unknown,Unknown,NA,NA,False
SANTA FE 1001/2023-09-23 13-30-54 M 1_3_crop1.JPG,Other,Unknown,Unknown,Unknown,Unknown,NA,False
SANTA FE 1001/2023-09-24 09-00-18 M 1_3_crop1.JPG,Iguana,Resting_elevated,Shade,NA,NA,Ground,True
SANTA FE 1001/2023-09-24 09-01-18 M 2_3_crop1.JPG,Iguana,Foraging,Sunlight,Grass,Stem,NA,False
