Image,Species,Behavior,Shade,Plant,Part,Location,Iguana_and_tortoise_present
Camera trap 983/DCIM/100RECNX/RCNX0081_crop2.JPG,Mockingbird,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0091_crop1.JPG,Dove,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0101_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0108_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0120_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0126_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0134_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0135_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0149_crop1.JPG,Iguana,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0151_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0152_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0168_crop1.JPG,Iguana,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0172_crop1.JPG,Iguana,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0178_crop1.JPG,Dove,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0183_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0184_crop1.JPG,Mockingbird,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0192_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0193_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0206_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0208_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0220_crop1.JPG,Mockingbird,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0222_crop1.JPG,Iguana,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0231_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0232_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0233_crop1.JPG,Iguana,Resting_ground,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0236_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0238_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0238_crop2.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0245_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0247_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0248_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0252_crop1.JPG,Iguana,Resting_elevated,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0253_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0254_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0256_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0267_crop1.JPG,Other,Unknown,Unknown,NA,NA,NA,
Camera trap 983/DCIM/100RECNX/RCNX0267_crop2.JPG,Iguana,Resting_ground,Sunlight,NA,NA,NA,
